"","ID","Group","WD","weight","Time"
"1","1","1","WD1",240,1
"2","2","1","WD1",225,1
"3","3","1","WD1",245,1
"4","4","1","WD1",260,1
"5","5","1","WD1",255,1
"6","6","1","WD1",260,1
"7","7","1","WD1",275,1
"8","8","1","WD1",245,1
"9","9","2","WD1",410,1
"10","10","2","WD1",405,1
"11","11","2","WD1",445,1
"12","12","2","WD1",555,1
"13","13","3","WD1",470,1
"14","14","3","WD1",535,1
"15","15","3","WD1",520,1
"16","16","3","WD1",510,1
"17","1","1","WD8",250,8
"18","2","1","WD8",230,8
"19","3","1","WD8",250,8
"20","4","1","WD8",255,8
"21","5","1","WD8",260,8
"22","6","1","WD8",265,8
"23","7","1","WD8",275,8
"24","8","1","WD8",255,8
"25","9","2","WD8",415,8
"26","10","2","WD8",420,8
"27","11","2","WD8",445,8
"28","12","2","WD8",560,8
"29","13","3","WD8",465,8
"30","14","3","WD8",525,8
"31","15","3","WD8",525,8
"32","16","3","WD8",510,8
"33","1","1","WD15",255,15
"34","2","1","WD15",230,15
"35","3","1","WD15",250,15
"36","4","1","WD15",255,15
"37","5","1","WD15",255,15
"38","6","1","WD15",270,15
"39","7","1","WD15",260,15
"40","8","1","WD15",260,15
"41","9","2","WD15",425,15
"42","10","2","WD15",430,15
"43","11","2","WD15",450,15
"44","12","2","WD15",565,15
"45","13","3","WD15",475,15
"46","14","3","WD15",530,15
"47","15","3","WD15",530,15
"48","16","3","WD15",520,15
"49","1","1","WD22",260,22
"50","2","1","WD22",232,22
"51","3","1","WD22",255,22
"52","4","1","WD22",265,22
"53","5","1","WD22",270,22
"54","6","1","WD22",275,22
"55","7","1","WD22",270,22
"56","8","1","WD22",268,22
"57","9","2","WD22",428,22
"58","10","2","WD22",440,22
"59","11","2","WD22",452,22
"60","12","2","WD22",580,22
"61","13","3","WD22",485,22
"62","14","3","WD22",533,22
"63","15","3","WD22",540,22
"64","16","3","WD22",515,22
"65","1","1","WD29",262,29
"66","2","1","WD29",240,29
"67","3","1","WD29",262,29
"68","4","1","WD29",265,29
"69","5","1","WD29",270,29
"70","6","1","WD29",275,29
"71","7","1","WD29",273,29
"72","8","1","WD29",270,29
"73","9","2","WD29",438,29
"74","10","2","WD29",448,29
"75","11","2","WD29",455,29
"76","12","2","WD29",590,29
"77","13","3","WD29",487,29
"78","14","3","WD29",535,29
"79","15","3","WD29",543,29
"80","16","3","WD29",530,29
"81","1","1","WD36",258,36
"82","2","1","WD36",240,36
"83","3","1","WD36",265,36
"84","4","1","WD36",268,36
"85","5","1","WD36",273,36
"86","6","1","WD36",277,36
"87","7","1","WD36",274,36
"88","8","1","WD36",265,36
"89","9","2","WD36",443,36
"90","10","2","WD36",460,36
"91","11","2","WD36",455,36
"92","12","2","WD36",597,36
"93","13","3","WD36",493,36
"94","14","3","WD36",540,36
"95","15","3","WD36",546,36
"96","16","3","WD36",538,36
"97","1","1","WD43",266,43
"98","2","1","WD43",243,43
"99","3","1","WD43",267,43
"100","4","1","WD43",270,43
"101","5","1","WD43",274,43
"102","6","1","WD43",278,43
"103","7","1","WD43",276,43
"104","8","1","WD43",265,43
"105","9","2","WD43",442,43
"106","10","2","WD43",458,43
"107","11","2","WD43",451,43
"108","12","2","WD43",595,43
"109","13","3","WD43",493,43
"110","14","3","WD43",525,43
"111","15","3","WD43",538,43
"112","16","3","WD43",535,43
"113","1","1","WD44",266,44
"114","2","1","WD44",244,44
"115","3","1","WD44",267,44
"116","4","1","WD44",272,44
"117","5","1","WD44",273,44
"118","6","1","WD44",278,44
"119","7","1","WD44",271,44
"120","8","1","WD44",267,44
"121","9","2","WD44",446,44
"122","10","2","WD44",464,44
"123","11","2","WD44",450,44
"124","12","2","WD44",595,44
"125","13","3","WD44",504,44
"126","14","3","WD44",530,44
"127","15","3","WD44",544,44
"128","16","3","WD44",542,44
"129","1","1","WD50",265,50
"130","2","1","WD50",238,50
"131","3","1","WD50",264,50
"132","4","1","WD50",274,50
"133","5","1","WD50",276,50
"134","6","1","WD50",284,50
"135","7","1","WD50",282,50
"136","8","1","WD50",273,50
"137","9","2","WD50",456,50
"138","10","2","WD50",475,50
"139","11","2","WD50",462,50
"140","12","2","WD50",612,50
"141","13","3","WD50",507,50
"142","14","3","WD50",543,50
"143","15","3","WD50",553,50
"144","16","3","WD50",550,50
"145","1","1","WD57",272,57
"146","2","1","WD57",247,57
"147","3","1","WD57",268,57
"148","4","1","WD57",273,57
"149","5","1","WD57",278,57
"150","6","1","WD57",279,57
"151","7","1","WD57",281,57
"152","8","1","WD57",274,57
"153","9","2","WD57",468,57
"154","10","2","WD57",484,57
"155","11","2","WD57",466,57
"156","12","2","WD57",618,57
"157","13","3","WD57",518,57
"158","14","3","WD57",544,57
"159","15","3","WD57",555,57
"160","16","3","WD57",553,57
"161","1","1","WD64",278,64
"162","2","1","WD64",245,64
"163","3","1","WD64",269,64
"164","4","1","WD64",275,64
"165","5","1","WD64",280,64
"166","6","1","WD64",281,64
"167","7","1","WD64",284,64
"168","8","1","WD64",278,64
"169","9","2","WD64",478,64
"170","10","2","WD64",496,64
"171","11","2","WD64",472,64
"172","12","2","WD64",628,64
"173","13","3","WD64",525,64
"174","14","3","WD64",559,64
"175","15","3","WD64",548,64
"176","16","3","WD64",569,64
